JB,BetterDan,OG
0,71,13
3,81,15
4,96,30
5,120,34
6,187,37
7,189,41
10,193,44
11,212,46
12,220,47
13,226,53
14,234,62
16,237,63
18,273,71
19,274,81
23,278,96
28,279,97
34,291,106
35,307,110
37,310,143
39,315,144
41,317,147
51,322,153
57,332,156
61,339,160
62,354,168
63,357,175
64,358,183
66,365,244
67,371,251
68,382,253
69,384,259
70,,266
71,,269
74,,362
76,,365
77,,371
79,,372
80,,374
81,,382
83,,385
84,,386
85,,
87,,
89,,
94,,
97,,
103,,
105,,
106,,
108,,
112,,
114,,
116,,
118,,
122,,
123,,
125,,
127,,
134,,
135,,
136,,
137,,
139,,
140,,
144,,
145,,
148,,
150,,
151,,
154,,
155,,
156,,
158,,
159,,
163,,
166,,
168,,
169,,
170,,
171,,
173,,
175,,
179,,
183,,
186,,
187,,
188,,
201,,
204,,
210,,
217,,
222,,
227,,
230,,
237,,
243,,
245,,
246,,
247,,
248,,
249,,
251,,
252,,
254,,
255,,
256,,
258,,
261,,
262,,
263,,
265,,
267,,
287,,
289,,
301,,
308,,
312,,
329,,
334,,
338,,
341,,
345,,
352,,
353,,
355,,
357,,
360,,
362,,
366,,
368,,
370,,
374,,
375,,
378,,
382,,
384,,
386,,
388,,
389,,
